"Group","Tradition","Family"
"Abhayagiri Buddhist Monastery","Buddhism","Buddhism"
"Adidam","Other","Other Groups"
"Advaita Fellowship","Hinduism","Hinduism"
"Advent Christian Association","Evangelical Protestant","Adventist"
"Advent Christian Church","Evangelical Protestant","Adventist"
"African Methodist Episcopal Church","Black Protestant","Methodist"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist"
"African Orthodox Church","Mainline Protestant","Anglican/Episcopal"
"African Union First Colored Methodist Protestant Church","","Methodist"
"Agape Christian Fellowship","Evangelical Protestant","Mennonite/Amish"
"Agon-shu","Buddhism","Buddhism"
"Agudas Chassidism Chabad","Judaism","Judaism"
"Ahmadiyya Anjuman Ishaat Islam, Lahore, Inc.","","Islam"
"Ahmadiyyas","Islam","Islam"
"Ajapa Yoga Foundation","Other","Other Groups"
"Alaska Moravian Church","","Methodist"
"Albanian Orthodox Archdiocese of the Orthodox Church in America","Orthodox","Eastern Liturgical (Orthodox)"
"Albanian Orthodox Diocese of America","Orthodox","Eastern Liturgical (Orthodox)"
"Allegheny Wesleyan Methodist Connection (Original Allegheny Conference)","Evangelical Protestant","Methodist"
"Alliance of Baptists","Mainline Protestant","Baptist"
"All World Gayatri Pariwar","Other","Other Groups"
"Alpha and Omega Pentecostal Church of God of America, Inc.","Black Protestant","Pentecostal"
"Amana Church Society","Evangelical Protestant","Communal"
"Ambassadors Amish Mennonite","Evangelical Protestant","Mennonite/Amish"
"American Anglican Church","Mainline Protestant",""
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran"
"American Baptist Association","Evangelical Protestant","Baptist"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist"
"American Baptist Convention","","Baptist"
"American Baptist Mississippi Convention","","Baptist"
"American Buddhist Shim Gum Do Association","Buddhism","Buddhism"
"American Burma Buddhist Association","Buddhism","Buddhism"
"American Carpatho-Russian Orthodox Diocese of the USA","Orthodox","Eastern Liturgical (Orthodox)"
"American Catholic Church (Syro-Antiochean)","Catholic","Catholic Liturgical"
"American Episcopal Church","","Anglican/Episcopal"
"American Ethical Union","Other","Liberal"
"American Evangelical Christian Churches","","Independent Fundamentalist"
"American Evangelical Lutheran Church","","Lutheran"
"American Holy Orthodox Catholic Apostolic Eastern Church","Catholic","Catholic Liturgical"
"American Lutheran Church (1930-1960)","","Lutheran"
"American Lutheran Church (1960-1987)","","Lutheran"
"American Lutheran Conference","","Lutheran"
"American Meditation Society","Other","Other Groups"
"American Mohammedian Society","Islam","Islam"
"American Moslem Brotherhood Association","Islam","Islam"
"American Muslim Mission","Islam","Islam"
"American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed"
"American Rescue Workers","","Holiness"
"American Sevashram Sangha of NA","Other","Other Groups"
"American Sikh Council","Other","Other Groups"
"American Unitarian Association","","Liberal"
"American Yoga Association","Other","Other Groups"
"American Zen College","Buddhism","Buddhism"
"Amish Groups, undifferentiated","Evangelical Protestant","Mennonite/Amish"
"Amish; Other Groups","Evangelical Protestant","Mennonite/Amish"
"Amitabha Buddhist Societies of USA","Buddhism","Buddhism"
"Amrita Foundation","Hinduism","Hinduism"
"Amritanandamayi, Devotees of Mata","Other","Other Groups"
"Amrit Yoga Institute","Other","Other Groups"
"Anabaptist Disciples of Christ","Evangelical Protestant","Mennonite/Amish"
"Ananda/Ananda Church of Self Realization","Hinduism","Hinduism"
"Ananda Ashram","Other","Other Groups"
"Ananda Ashrama","Other","Other Groups"
"Ananda Marga Yoga Society","Other","Other Groups"
"Anglican Catholic Church","Other Christians","Anglican/Episcopal"
"Anglican Church in America","Mainline Protestant","Anglican/Episcopal"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal"
"Anglican Mission in the Americas","","Anglican/Episcopal"
"Anglican Orthodox Church of North America","","Anglican/Episcopal"
"Anglican Province of America","Mainline Protestant",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal"
"Anoopam Mission","Hinduism","Hinduism"
"Antiochian Orthodox Archdiocese of Toledo, and Dependencies in North America","Orthodox","Eastern Liturgical (Orthodox)"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox)"
"Apostolic Catholic Orthodox Church","Catholic","Catholic Liturgical"
"Apostolic Christian Church (Nazarene)","Evangelical Protestant","Other Groups"
"Apostolic Christian Church (Nazarene) - East Conference","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Church (Nazarene) - West Conference","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Church of America","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Faith","Evangelical Protestant","Froehlich Churches"
"Apostolic Churches of Jesus Christ","","Pentecostal"
"Apostolic Church of Christ in God","Black Protestant","Pentecostal"
"Apostolic Church of Jesus Christ","","Pentecostal"
"Apostolic Episcopal Church","","Anglican/Episcopal"
"Apostolic Faith (Kansas)","Evangelical Protestant","Pentecostal"
"Apostolic Faith Mission Church of God","","Pentecostal"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal"
"Apostolic Lutheran Church of America","Evangelical Protestant","Lutheran"
"Apostolic Orthodox Catholic Church of North America","Catholic","Catholic Liturgical"
"Apostolic Overcoming Holy Church of God","","Pentecostal"
"Apostolic United Brethren","Other","Latter-day Saints (Mormonism)"
"Appalachian Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox)"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox)"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed"
"Aro Gar","Buddhism","Buddhism"
"Arunachala Ashrama","Other","Other Groups"
"Asian Classics Institute","Buddhism","Buddhism"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal"
"Assemblies of God International Fellowship","Evangelical Protestant","Pentecostal"
"Assemblies of the Lord Jesus Christ","Evangelical Protestant","Pentecostal"
"Assemblies of Yahweh (Bethel, PA)","","Adventist"
"Assembly of Yahweh","","Adventist"
"Associated Churches of Christ (Holiness)","Black Protestant","Holiness"
"Associate Presbyterian Church","","Presbyterian/Reformed"
"Associate Reformed Presbyterian Church","","Presbyterian/Reformed"
"Associate Reformed Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed"
"Association of Evangelical Lutheran Churches","","Lutheran"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran"
"Association of Fundamental Ministers and Churches","","Holiness"
"Association of Independent Evangelical Lutheran Churches","","Lutheran"
"Association of Messianic Congregations","Other Christians","Other Groups"
"Association of Pentecostal Churches in America","","Holiness"
"Association of Reformed Baptist Churches of America","Evangelical Protestant","Baptist"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal"
"Association Zen Internationale (AZI)","Buddhism","Buddhism"
"Atlanta Soto Zen Center (ASZC)","Buddhism","Buddhism"
"Aurobindo Centers","Other","Other Groups"
"Autonomous Orthodox Metropolia of North and South America and the British Isles","Orthodox","Eastern Liturgical (Orthodox)"
"Avadhuta Foundation","Hinduism","Hinduism"
"Avatamsaka Buddhist Lotus Society","Buddhism","Buddhism"
"Awakened Life/Open Source","Buddhism","Buddhism"
"Babaji's Kriya Yoga","Hinduism","Hinduism"
"Baha'i Faith","Other","Other Groups"
"Baptist Bible Fellowship International","","Baptist"
"Baptist General Conference","","Baptist"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist"
"Baptist Missionary Convention (Triennial Convention)","","Baptist"
"Barren River Missionary Baptists","Evangelical Protestant","Baptist"
"Beachy Amish Mennonite Churches","Evangelical Protestant","Mennonite/Amish"
"Belarusian Autocephalous Orthodox Church","Orthodox","Eastern Liturgical (Orthodox)"
"Believers in Christ","Evangelical Protestant","Mennonite/Amish"
"Berea Amish Mennonite","Evangelical Protestant","Mennonite/Amish"
"Berean Fellowship of Churches","Evangelical Protestant","Independent Fundamentalist"
"Berkeley Zen Center","Buddhism","Buddhism"
"Bethel Baptist Assembly, Inc.","","Baptist"
"Bethel Fellowship Mennonite Churches","Evangelical Protestant","Mennonite/Amish"
"Bethel Ministerial Association","Evangelical Protestant","Pentecostal"
"Bible Church of Christ","","Pentecostal"
"Bible Church of Christ, Inc.","Evangelical Protestant","Pentecostal"
"Bible Fellowship Church","Evangelical Protestant","Holiness"
"Bible Holiness Church","Evangelical Protestant","Holiness"
"Bible Methodist Connection of Churches","Evangelical Protestant","Holiness"
"Bible Missionary Church","","Holiness"
"Bible Presbyterian Church","","Presbyterian/Reformed"
"Bible Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed"
"Bible Protestant Church","Evangelical Protestant","Methodist"
"Bible Standard Conference","Evangelical Protestant","Pentecostal"
"Bible Way Church of Our Lord Jesus Christ World Wide, Inc.","Evangelical Protestant","Pentecostal"
"Biblical Mennonite Alliance","Evangelical Protestant","Mennonite/Amish"
"Big Mind Zen Center","Other","Other Groups"
"Black Baptists Estimate","Black Protestant","Baptist"
"Blue Mountain Center of Meditation","Other","Other Groups"
"Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha (BAPS)","Hinduism","Hinduism"
"Bodhicharya North America","Buddhism","Buddhism"
"BodhiPath","Buddhism","Buddhism"
"Bohemian and Moravian Brethren Church","","Methodist"
"Bön Shen Foundation","Other","Other Groups"
"Boundless Way Zen","Buddhism","Buddhism"
"Brahma Kumaris World Spiritual Organization","Other","Other Groups"
"Brethren Church (Ashland, Ohio)","Evangelical Protestant","Friends/Brethren"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren"
"Bruderhof","Evangelical Protestant","Communal"
"Buddha Heart","Other","Other Groups"
"Buddha’s Universal Church","Buddhism","Buddhism"
"Buddhism, Mahayana","Buddhism","Buddhism"
"Buddhism, Theravada","Buddhism","Buddhism"
"Buddhism, Vajrayana","Buddhism","Buddhism"
"Buddhist Association of Colorado","Buddhism","Buddhism"
"Buddhist Association of the United States","Buddhism","Buddhism"
"Buddhist Churches of America","Buddhism","Buddhism"
"Buddhist Compassion Relief Tzu Chi Association","Buddhism","Buddhism"
"Buddhist Mission of North America","Buddhism","Buddhism"
"Buddhists","Buddhism","Buddhism"
"Buddhist Society for Compassionate Wisdom","Buddhism","Buddhism"
"Buddhist Society of America","Buddhism","Buddhism"
"Buffalo Synod","","Lutheran"
"Bulgarian Diocese of the Orthodox Church in America","Orthodox","Eastern Liturgical (Orthodox)"
"Bulgarian Eastern Orthodox Diocese of the USA, Canada, and Australia","Orthodox","Eastern Liturgical (Orthodox)"
"Burmese (Myanmar) Buddhism","Buddhism","Buddhism"
"Calvary Chapel","Evangelical Protestant","Pentecostal"
"Calvary Pentecostal Church, Inc","","Pentecostal"
"Cambodian Buddhism","Buddhism","Buddhism"
"Cambridge Buddhist Association","Buddhism","Buddhism"
"Canadian and American Reformed Churches","Evangelical Protestant","Presbyterian/Reformed"
"Catholic Apostolic Church","Other","Other Groups"
"Catholic Apostolic Church in North America","Mainline Protestant",""
"Catholic Church","Catholic","Catholic Liturgical"
"Center for American Buddhist Practice","Buddhism","Buddhism"
"Center for Buddhist Development","Buddhism","Buddhism"
"Center for Cultural Judaism","Judaism","Judaism"
"Center for Dzoghen Studies","Buddhism","Buddhism"
"Center for Spiritual Awareness (CSA)","Other","Other Groups"
"Center for Timeless Wisdom","Buddhism","Buddhism"
"Central Baptist Association Ministries","Evangelical Protestant","Baptist"
"Central Yearly Meeting of Friends","Evangelical Protestant","Friends/Brethren"
"Chabad Judaism","Judaism",""
"Chagdud Gonpa Foundation","Buddhism","Buddhism"
"Chan Nhu Buddhist Pagoda","Buddhism","Buddhism"
"Charis Fellowship","Mainline Protestant","Friends/Brethren"
"Chicago Rimé Center","Buddhism","Buddhism"
"Chinese Buddhist Association of Hawaii-Hsu Yun Temple","Buddhism","Buddhism"
"Chinmaya Mission West","Hinduism","Hinduism"
"Chishti Sufi Order","Islam","Islam"
"Chokling Tersar Foundation USA (CTF)","Buddhism","Buddhism"
"Chozen-ji Kyudo","Buddhism","Buddhism"
"Christadelphians","Other Christians","Other Groups"
"Christ Catholic Church","Evangelical Protestant","Catholic Liturgical"
"Christ Catholic Exarchate of Americas and Eastern Hemisphere","Catholic","Catholic Liturgical"
"Christ Community Church of Zion","Other","Other Groups"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness"
"Christian Apostolic Church","Evangelical Protestant","Froehlich Churches"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist"
"Christian Catholic Church","Other","Other Groups"
"Christian Church","","Congregationalists (United Church of Christ)"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists"
"Christian Communities","Evangelical Protestant",""
"Christian Congregation, Inc., The","","Baptist"
"Christian Congregation in North America","Evangelical Protestant","Pentecostal"
"Christian Connection/Christian Church","","Restorationists"
"Christian Methodist Episcopal Church","Black Protestant","Methodist"
"Christian Nation Church U.S.A.","","Holiness"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed"
"Christian Reformed Church (Korean)","Evangelical Protestant","Presbyterian/Reformed"
"Christian Union","Evangelical Protestant","Other Groups"
"Christian Unity Baptist Association","","Baptist"
"Christ's Sanctified Holy Church","Evangelical Protestant","Holiness"
"Christ Unity Spiritual Science Church","Other","Other Groups"
"Chung Tai","Buddhism","Buddhism"
"Churches of Christ","Evangelical Protestant","Restorationists"
"Churches of Christ in Christian Union","Evangelical Protestant","Holiness"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed"
"Churches of God (Greenville, S.C.)","Other","Other Groups"
"Churches of God, Holiness","","Holiness"
"Churches of the Cross","","Presbyterian/Reformed"
"Church of Christ","Evangelical Protestant",""
"Church of Christ (Fetting/Bronson)","Other","Latter-day Saints (Mormonism)"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness"
"Church of Christ, Scientist","Other Christians","Christian Science"
"Church of Christ (Temple Lot)","","Latter-day Saints (Mormonism)"
"Church of Christ ""with the Elijah Message,"" Established Anew in 1929","Other","Latter-day Saints (Mormonism)"
"Church of Daniel's Band","","Methodist"
"Church of God (7th Day, Salem, West Virginia)","","Adventist"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness"
"Church of God and Saints of Christ","Other Christians","Judaism"
"Church of God Apostolic, Inc.","Evangelical Protestant","Pentecostal"
"Church of God as Organized by Christ","Other","Other Groups"
"Church of God by Faith, Inc.","Evangelical Protestant","Pentecostal"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal"
"Church of God, General Assembly","Other","Other Groups"
"Church of God General Conference (Abrahamic Faith, McDonough, GA)","Evangelical Protestant","Adventist"
"Church of God in Christ","Black Protestant","Pentecostal"
"Church of God in Christ, Congregational","Black Protestant","Pentecostal"
"Church of God in Christ, International","Black Protestant","Pentecostal"
"Church of God in Christ Jesus, Apostolic, Inc.","","Pentecostal"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish"
"Church of God in Christ United","Black Protestant","Pentecostal"
"Church of God (Jerusalem Acres)","Evangelical Protestant","Pentecostal"
"Church of God, Mountain Assembly, Inc.","Evangelical Protestant","Pentecostal"
"Church of God (New Dunkers)","","Friends/Brethren"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal"
"Church of God of the Apostolic Faith, Inc.","Evangelical Protestant","Pentecostal"
"Church of God of the Firstborn","Evangelical Protestant",""
"Church of God, Reformation Movement","Evangelical Protestant","Holiness"
"Church of God (Which He Purchased With His Own Blood)","","Holiness"
"Church of Illumination","Other","Other Groups"
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism)"
"Church of Jesus Christ (Cutlerite)","","Latter-day Saints (Mormonism)"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism)"
"Church of Jesus Christ of Latter-day Saints (Strangite)","","Latter-day Saints (Mormonism)"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal"
"Church of Revelation","Other","Other Groups"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox)"
"Church of the Gospel","","Holiness"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal"
"Church of the Living God, the Pillar and Ground of the Truth, Inc. [Lewis Dominion]","Black Protestant","Pentecostal"
"Church of the Living God, the Pillar and Ground of Truth Which He Purchased With His Own Blood, Inc. [McLeod/Jewell Dominion]","","Pentecostal"
"Church of the Lord Jesus Christ of the Apostolic Faith (Philadelphia)","","Pentecostal"
"Church of the Lutheran Brethren of America","Evangelical Protestant","Lutheran"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran"
"Church of the Nazarene","Evangelical Protestant","Holiness"
"Church of the United Brethren in Christ, USA","Evangelical Protestant","Methodist"
"Clear Water Zendo","Buddhism","Buddhism"
"Colored Methodist Episcopal Church","","Methodist"
"Colored Methodist Protestant Church","","Methodist"
"Communion of Reformed Evangelical Churches","Evangelical Protestant","Presbyterian/Reformed"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism)"
"Compassion Fellowship","Buddhism","Buddhism"
"Concordia Lutheran Conference","Evangelical Protestant",""
"Conference of United Mennonite Brethren of North America","Evangelical Protestant","Mennonite/Amish"
"Congregational Christian Churches","","Congregationalists (United Church of Christ)"
"Congregational Christian Churches, Additional (not part of any national CCC body)","Mainline Protestant","Presbyterian/Reformed"
"Congregational Holiness Church","Evangelical Protestant","Pentecostal"
"Congregationalist Churches","","Congregationalists (United Church of Christ)"
"Congregational Methodist Church","Evangelical Protestant","Methodist"
"Congress of Arya Samajs in North America","Other","Other Groups"
"Congress of Secular Jewish Organizations","Judaism","Judaism"
"Conservative Amish Mennonite Conference","","Mennonite/Amish"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist"
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed"
"Conservative Judaism","Judaism","Judaism"
"Conservative Lutheran Association","Evangelical Protestant","Lutheran"
"Conservative Mennonite Churches of York and Adams Counties PA","Evangelical Protestant","Mennonite/Amish"
"Conservative Mennonite Conference","Evangelical Protestant","Mennonite/Amish"
"Conservative Yearly Meetings of Friends","Evangelical Protestant","Friends/Brethren"
"Convention of Original Free Will Baptists","Evangelical Protestant","Baptist"
"Converge Worldwide","Evangelical Protestant","Baptist"
"Cooperative General Association of Free Will Baptists","","Baptist"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox)"
"Covenant Presbyterian Church","Evangelical Protestant",""
"Covenant Reformed Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed"
"Cross and the Lotus","Other","Other Groups"
"Cumberland Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed"
"Cumberland Presbyterian Church in America","Black Protestant","Presbyterian/Reformed"
"Cumberland Valley Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"Dagom Gaden Tensung Ling Buddhist Monastery","Buddhism","Buddhism"
"Danish Evangelical Lutheran Church","","Lutheran"
"Dariusleut Hutterite","Evangelical Protestant","Communal"
"Datta Yoga Center USA","Other","Other Groups"
"Dawn Bible Students Association","","Adventist"
"Dechen (UK)","Buddhism","Buddhism"
"Defenseless Mennonite Brethren of Christ in North America","Evangelical Protestant","Mennonite/Amish"
"Defenseless Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"Devi Mandir","Other","Other Groups"
"Dhamma Dena Monastery and Desert Vipassana Community","Buddhism","Buddhism"
"Dharma Drum Mountain Buddhist Association","Buddhism","Buddhism"
"Dharma Friendship Foundation","Buddhism","Buddhism"
"Dharma Rain Zen Center","Buddhism","Buddhism"
"Dharma Realm Buddhist Association","Buddhism","Buddhism"
"Dharma Sangha","Buddhism","Buddhism"
"Dharmata Foundation","Buddhism","Buddhism"
"Dhongak Tharling Dharma Center","Buddhism","Buddhism"
"Dhyanyoga Centers","Other","Other Groups"
"Diamond Sangha","Buddhism","Buddhism"
"Diamond Way Buddhism","Buddhism","Buddhism"
"Diocese of the Holy Cross","Mainline Protestant",""
"Divine Life Society","Other","Other Groups"
"Divine Science","","Christian Science"
"Divya Jyoti Jagrati Sansthan","Other","Other Groups"
"Dorje Ling","Buddhism","Buddhism"
"Dragon Flower Zen Meditation","Buddhism","Buddhism"
"Drikung Kagyu Order","Buddhism","Buddhism"
"Duck River (and Kindred) Association of Baptists","Evangelical Protestant","Baptist"
"Dunkard Brethren Church","Evangelical Protestant","Friends/Brethren"
"Dzogchen Foundation","Buddhism","Buddhism"
"Dzogchen Shri Singha International","Buddhism","Buddhism"
"Eastern Pennsylvania Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"Eastern States Buddhist Association of America","Buddhism","Buddhism"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed"
"Ecumenical Catholic Church","Other Christians","Other Groups"
"Ecumenical Catholic Communion","Other Christians",""
"Ecumenical Orthodox Catholic Church in America","Orthodox","Eastern Liturgical (Orthodox)"
"Eielsen Synod","","Lutheran"
"Elim Fellowship","Evangelical Protestant","Pentecostal"
"Elk River Association","","Baptist"
"Emmanuel Holiness Church","","Pentecostal"
"Emmanuel's Church in Jesus Christ","","Pentecostal"
"EnlightenNext","Other","Other Groups"
"Enterprise Baptists Association","Evangelical Protestant","Baptist"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal"
"Episcopal Missionary Church","Mainline Protestant",""
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox)"
"Estonian Evangelical Lutheran Church","Mainline Protestant","Lutheran"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox)"
"E-Vam Institute","Buddhism","Buddhism"
"Evangelical Adventists","","Adventist"
"Evangelical and Reformed Church","","Congregationalists (United Church of Christ)"
"Evangelical Association of Reformed and Congregational Christian Churches","Evangelical Protestant","Presbyterian/Reformed"
"Evangelical Church","","Methodist"
"Evangelical Church Alliance","","Independent Fundamentalist"
"Evangelical Church of North America","Evangelical Protestant","Holiness"
"Evangelical Congregational Church","Evangelical Protestant","Methodist"
"Evangelical Covenant Church","Evangelical Protestant","Methodist"
"Evangelical Free Church of America","Evangelical Protestant","Methodist"
"Evangelical Friends Alliance","","Friends/Brethren"
"Evangelical Friends Church, Eastern Region","Evangelical Protestant","Friends/Brethren"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren"
"Evangelical Friends Church - Mid-America Yearly Meeting","","Friends/Brethren"
"Evangelical Friends International","","Friends/Brethren"
"Evangelical Lutheran Church","","Lutheran"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran"
"Evangelical Lutheran Conference and Ministerium of North America","Evangelical Protestant",""
"Evangelical Lutheran Diocese of North America","Evangelical Protestant",""
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran"
"Evangelical Mennonite Brethren Conference","Evangelical Protestant","Mennonite/Amish"
"Evangelical Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"Evangelical Methodist Church","Evangelical Protestant","Methodist"
"Evangelical Presbyterian Church (1956)","","Presbyterian/Reformed"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed"
"Evangelical Protestant Church of North America","","Congregationalists (United Church of Christ)"
"Evangelical Synod of North America","","Congregationalists (United Church of Christ)"
"Evangelical United Brethren","","Methodist"
"Evangelical Wesleyan Church","","Holiness"
"Evangelical Wesleyan Church of North America","","Holiness"
"Evangelistic Church of God","","Pentecostal"
"Evangel Presbytery","Evangelical Protestant","Presbyterian/Reformed"
"Every Nation","Evangelical Protestant",""
"Falun Gong (Falun Dafa)","Buddhism","Buddhism"
"Federated Church","Other","Other Groups"
"Federation of Reformed Churches","Evangelical Protestant","Presbyterian/Reformed"
"Federation of Zoroastrian Associations of North America","Other","Other Groups"
"Fellowship of Christian Assemblies","Evangelical Protestant","Pentecostal"
"Fellowship of Evangelical Bible Churches","Evangelical Protestant","Mennonite/Amish"
"Fellowship of Evangelical Churches","Evangelical Protestant","Mennonite/Amish"
"Fellowship of Fundamental Bible Churches","Evangelical Protestant","Methodist"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren"
"Finnish Evangelical Lutheran Church (Suomi Synod)","","Lutheran"
"Fire-Baptized Holiness Assocation","","Pentecostal"
"Fire Baptized Holiness Church (Wesleyan)","Evangelical Protestant","Holiness"
"First Church of the Nazarene","","Holiness"
"First Colored Methodist Protestant Church","","Methodist"
"First Congregational Methodist Church of the U.S.A.","","Methodist"
"First Zen Institute of America","Buddhism","Buddhism"
"Fivefold Path Inc./Agnihortra Worldwide","Hinduism","Hinduism"
"Foundation for the Preservation of the Mahayana Tradition (FPMT)","Buddhism","Buddhism"
"Free Christian Zion Church of Christ","","Methodist"
"Free Church of God in Christ","","Pentecostal"
"Free Church of Scotland (Continuing)","Evangelical Protestant","Presbyterian/Reformed"
"Free Magyar Reformed Church in America","","Presbyterian/Reformed"
"Free Methodist Church – USA","Evangelical Protestant","Holiness"
"Free Presbyterian Church of North America","Evangelical Protestant","Presbyterian/Reformed"
"Free Presbyterian Church of Scotland","Evangelical Protestant",""
"Free Reformed Church of North America","Evangelical Protestant","Presbyterian/Reformed"
"Friends General Conference","Mainline Protestant","Friends/Brethren"
"Friends General Conference and Friends United Meeting, dually aligned meetings","Mainline Protestant","Friends/Brethren"
"Friends (Quakers)","Mainline Protestant","Friends/Brethren"
"Friends United Meeting","Mainline Protestant","Friends/Brethren"
"Full Gospel Assemblies International","Evangelical Protestant","Pentecostal"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal"
"Full Gospel Church Association, Inc.","","Pentecostal"
"Full Gospel Fellowship of Churches and Ministers International","","Pentecostal"
"Fundamental Baptist Fellowship Association","Evangelical Protestant","Baptist"
"Fundamentalist Church of Jesus Christ of Latter-day Saints","Other","Latter-day Saints (Mormonism)"
"Fundamental Methodist Conference, Inc.","Evangelical Protestant","Methodist"
"Furnace Mountain Zen Retreat Center","Buddhism","Buddhism"
"Gaden for the West","Buddhism","Buddhism"
"Gangaji Foundation (Spiritual)","Other","Other Groups"
"Gedatsu Church of America","Other","Other Groups"
"General Assemblies of Apostolic Assemblies","","Pentecostal"
"General Assembly of Spiritualists","","Spiritualist"
"General Association of Davidian Seventh-Day Adventists","",""
"General Association of General Baptists","Evangelical Protestant","Baptist"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist"
"General Association of Separatist Baptists","","Baptist"
"General Association of the Shepherd's Rod Seventh-day Adventists","","Adventist"
"General Church of the New Jerusalem","Other Christians","Spiritualist"
"General Conference Mennonite Church","Evangelical Protestant","Mennonite/Amish"
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist"
"General Conference of the Evangelical Baptist Church, Inc.","","Pentecostal"
"General Council","","Lutheran"
"General Six-Principle Baptists","Evangelical Protestant","Baptist"
"General Synod","","Lutheran"
"Georgian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox)"
"German Apostolic / Christian Apostolic Churches","Evangelical Protestant","Froehlich Churches"
"German Baptist Brethren","Evangelical Protestant","Friends/Brethren"
"(German) Reformed Church in the United States","","Congregationalists (United Church of Christ)"
"Girnar Sadhana Ashram","Other","Other Groups"
"Global Country of World Peace (TM Movement)","Other","Other Groups"
"Global Methodist Church","","Methodist"
"Global Organization for Divinity","Hinduism","Hinduism"
"Gospel Mission Corps","","Holiness"
"Gospel Spreading Church","Black Protestant","Holiness"
"Grace Communion International","Evangelical Protestant",""
"Grace Communion International","Evangelical Protestant","Adventist"
